battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1416,1,1.8,1,8.0,0,20,0.1,93,4,12.0,1175.0,1578,3872,10,2.0,7,0,0,1,3
858,0,2.2,0,1.0,0,50,0.1,84,1,2.0,528.0,1416,3978,17,16.0,3,1,1,0,3
1454,0,2.6,0,8.0,0,6,0.4,199,3,20.0,698.0,1018,1300,10,13.0,2,0,0,1,1
1216,0,3.0,0,4.0,0,47,0.4,199,3,7.0,1852.0,1967,2268,13,5.0,4,0,1,1,2
1174,0,0.7,1,1.0,1,25,0.8,91,2,8.0,1097.0,1461,285,19,7.0,3,1,0,1,0
1630,1,2.8,1,11.0,1,32,0.9,80,6,1.0,712.0,1726,1751,12,10.0,20,1,0,1,2
775,1,2.6,0,2.0,0,30,0.4,189,7,10.0,561.0,1510,2523,17,16.0,9,1,0,1,2
1969,0,1.2,1,9.0,0,63,0.2,132,4,11.0,390.0,756,298,10,1.0,10,1,1,0,0
841,1,0.5,1,8.0,0,39,0.1,199,6,13.0,546.0,828,2942,11,5.0,16,0,1,1,2
1677,0,1.8,1,4.0,0,11,0.7,124,6,8.0,271.0,1477,3771,15,6.0,12,1,0,0,3
1179,1,0.5,0,7.0,1,32,0.3,182,2,12.0,85.0,1451,340,16,5.0,16,1,0,0,0
1623,1,1.2,0,6.0,1,61,0.9,120,7,12.0,1568.0,1832,1510,12,10.0,17,1,1,0,2
894,0,0.7,0,2.0,1,58,0.1,123,2,3.0,158.0,747,3305,12,7.0,2,1,0,0,2
1852,0,1.4,0,4.0,1,10,0.7,196,1,18.0,580.0,1163,3970,13,1.0,11,1,0,1,3
614,1,0.7,0,4.0,1,51,0.1,178,7,7.0,1012.0,1040,2854,10,7.0,12,1,0,1,2
1410,1,0.5,1,12.0,1,15,0.3,92,3,1.0,192.0,1311,2304,18,4.0,18,1,1,0,2
763,0,1.7,1,8.0,1,2,0.5,92,8,14.0,1028.0,1186,1050,6,4.0,8,1,1,0,0
534,0,0.5,1,1.0,1,16,1.0,189,5,1.0,393.0,1199,3926,16,12.0,20,1,0,0,3
1043,1,0.5,0,7.0,0,42,0.1,111,3,8.0,716.0,1626,912,16,9.0,6,0,1,0,0
1417,1,0.5,0,10.0,1,45,0.9,166,4,19.0,364.0,1029,2129,13,9.0,12,1,0,1,1
600,0,0.5,0,11.0,0,14,0.8,112,5,2.0,320.0,747,1655,18,11.0,9,0,0,0,0
1923,0,0.5,1,7.0,0,46,0.5,191,1,10.0,767.0,1759,1489,10,9.0,3,1,1,1,1
860,1,1.3,1,1.0,1,49,0.7,141,6,13.0,692.0,979,3869,16,14.0,20,1,1,1,3
557,0,0.5,1,3.0,0,17,0.2,89,6,4.0,322.0,710,2623,17,16.0,16,0,0,0,1
955,1,0.5,0,2.0,0,2,0.6,155,4,10.0,428.0,1254,1974,14,1.0,18,1,1,0,1
772,1,2.4,1,1.0,1,10,0.5,80,4,2.0,1242.0,1712,3242,18,11.0,4,1,1,0,3
594,0,0.8,0,2.0,1,28,0.1,132,5,3.0,1011.0,1263,3087,16,4.0,4,1,1,1,2
1624,0,1.6,1,8.0,0,28,0.4,150,2,10.0,689.0,699,2473,16,11.0,2,1,0,0,2
1977,0,1.3,1,2.0,0,31,0.4,173,8,6.0,1145.0,1356,2641,8,2.0,7,0,0,0,3
1494,0,2.4,0,6.0,1,3,0.9,93,7,17.0,944.0,1003,1208,14,13.0,17,1,1,0,1
1593,1,1.0,0,1.0,1,52,0.7,130,8,4.0,761.0,1336,1354,15,13.0,13,1,1,1,1
1504,0,1.9,1,7.0,1,25,0.3,152,4,9.0,395.0,1853,1788,13,11.0,13,1,0,1,1
965,1,1.4,0,1.0,0,13,0.9,197,8,2.0,645.0,1275,2343,17,12.0,15,1,0,0,2
1841,1,1.3,1,6.0,0,14,0.6,167,8,8.0,593.0,672,2304,7,1.0,18,0,0,1,2
1880,0,0.5,0,9.0,1,7,0.6,104,4,1.0,890.0,1019,2968,9,17.0,3,1,1,0,3
1090,0,1.3,1,5.0,0,27,0.1,91,4,16.0,1638.0,1910,1352,5,1.0,11,0,1,0,1
1965,0,0.5,0,6.0,1,4,1.0,84,7,9.0,977.0,1660,3535,17,9.0,16,1,1,1,3
612,1,0.7,0,6.0,0,35,0.6,181,5,12.0,1294.0,1337,3169,14,9.0,6,0,0,0,2
959,1,1.3,1,1.0,0,36,0.4,196,5,14.0,1313.0,1331,3073,19,1.0,8,1,1,1,3
1672,1,0.5,1,13.0,1,32,0.7,174,1,20.0,1281.0,1896,1267,17,4.0,20,1,1,0,1
1742,1,1.6,0,3.0,0,49,0.8,100,1,9.0,1134.0,1469,1947,5,4.0,6,1,0,1,2
1330,0,1.1,0,11.0,0,37,0.7,126,7,20.0,1103.0,1637,2166,10,1.0,4,1,0,0,2
1949,0,1.3,1,1.0,0,23,0.1,101,5,1.0,839.0,1136,2478,14,8.0,20,1,0,0,3
1099,0,0.5,0,13.0,1,61,0.3,146,3,20.0,393.0,1096,1699,17,10.0,3,1,1,1,1
1823,0,2.8,1,11.0,0,10,0.6,81,8,19.0,362.0,1250,1812,5,3.0,19,1,1,1,2
1433,1,2.3,0,8.0,1,27,0.9,153,7,12.0,1619.0,1651,3900,18,16.0,2,1,0,1,3
626,0,0.7,1,2.0,1,23,0.5,187,2,9.0,90.0,1334,3458,7,5.0,11,1,0,1,2
1766,1,1.3,0,1.0,0,29,0.5,194,8,20.0,439.0,1306,2316,19,2.0,6,0,0,1,2
616,1,2.2,0,3.0,1,21,0.8,150,7,4.0,347.0,513,3267,17,9.0,19,1,0,0,2
1757,0,0.5,0,8.0,0,49,0.5,180,6,14.0,265.0,713,2056,7,5.0,4,0,0,0,1
1892,1,0.7,0,5.0,0,47,0.4,110,4,10.0,1399.0,1564,2172,17,14.0,3,1,1,1,2
1372,1,2.7,0,7.0,0,34,0.4,193,4,17.0,687.0,937,725,11,3.0,20,1,0,0,0
1208,0,2.9,0,5.0,1,16,1.0,175,1,19.0,691.0,1028,2201,17,16.0,12,1,0,0,1
1893,1,2.1,1,8.0,0,63,0.2,134,2,11.0,637.0,763,3822,14,3.0,18,0,1,1,3
826,0,0.6,0,3.0,0,62,0.7,187,4,19.0,778.0,1615,1998,17,4.0,17,0,0,0,1
1156,1,2.7,1,1.0,1,30,0.9,173,3,16.0,945.0,1913,2735,16,15.0,13,1,0,1,2
1110,0,1.5,0,4.0,1,41,0.1,152,3,16.0,800.0,1455,2572,16,5.0,16,1,0,1,2
928,1,0.5,1,11.0,0,56,0.7,80,8,13.0,221.0,1243,666,19,10.0,5,0,1,0,0
553,0,0.5,1,2.0,1,23,0.5,119,3,3.0,993.0,1517,2981,7,3.0,14,1,0,0,2
1867,0,2.3,0,9.0,1,9,0.1,191,6,3.0,712.0,1442,990,6,1.0,2,1,0,1,1
1680,1,1.2,1,6.0,1,37,0.7,168,4,7.0,679.0,1231,1459,15,3.0,2,1,1,0,1
1922,0,0.5,0,15.0,1,42,0.6,153,8,16.0,725.0,1882,3564,12,1.0,17,1,0,0,3
1876,0,1.3,1,9.0,1,64,1.0,98,3,19.0,600.0,1211,3132,17,15.0,2,1,1,1,3
1509,0,0.6,1,5.0,0,50,0.3,81,4,8.0,1010.0,1684,1540,12,8.0,3,1,1,0,1
1163,0,2.8,1,6.0,0,49,0.6,155,2,12.0,520.0,754,2768,19,2.0,12,0,0,1,2
1211,1,1.2,0,1.0,0,28,0.3,130,2,3.0,58.0,963,2750,6,1.0,14,0,1,0,2
783,0,1.8,1,4.0,1,43,1.0,106,3,4.0,1198.0,1471,2016,16,4.0,18,1,1,0,1
1170,0,2.9,1,2.0,0,40,0.4,169,6,5.0,427.0,684,2366,16,8.0,2,1,1,1,1
1522,1,0.7,1,4.0,0,28,0.2,124,1,5.0,952.0,1191,1368,14,5.0,17,1,0,1,1
911,1,2.2,1,1.0,1,28,0.5,182,2,2.0,157.0,763,2638,8,4.0,13,1,1,1,1
843,0,1.8,1,4.0,0,16,0.1,166,5,6.0,981.0,1096,3673,12,1.0,20,1,0,1,3
1662,0,0.5,0,4.0,1,61,0.8,126,4,13.0,32.0,1509,3760,9,5.0,13,1,1,1,3
568,0,2.0,0,1.0,0,36,0.3,179,3,4.0,181.0,1703,950,17,9.0,9,1,0,0,0
1061,1,2.1,0,3.0,1,52,0.1,109,7,4.0,138.0,1330,999,16,12.0,9,1,1,0,0
1352,0,2.4,0,5.0,1,6,0.9,92,6,9.0,629.0,1299,1309,12,1.0,14,1,0,0,1
1701,1,1.6,1,3.0,0,10,0.3,194,8,7.0,550.0,1338,2598,12,9.0,6,0,1,0,2
916,1,0.5,0,2.0,1,47,0.2,82,4,1.0,1147.0,1393,1659,11,10.0,11,1,1,0,1
1561,1,1.6,1,1.0,1,27,0.8,174,3,10.0,662.0,874,1205,12,7.0,3,1,1,0,1
1960,1,2.3,1,1.0,1,61,0.3,86,7,3.0,205.0,1299,3865,10,7.0,11,1,0,0,3
531,1,0.5,1,8.0,1,12,0.5,121,4,3.0,158.0,1657,2331,18,12.0,20,1,0,1,1
1166,0,2.0,0,3.0,1,25,0.8,198,5,4.0,59.0,1203,2488,13,5.0,15,1,0,0,2
1448,0,0.5,1,5.0,0,2,0.2,100,5,19.0,846.0,1144,593,9,4.0,18,1,1,1,0
1595,0,1.9,1,1.0,0,63,0.9,88,1,20.0,1475.0,1988,908,18,13.0,6,0,0,1,1
1994,1,0.7,0,5.0,0,5,0.4,189,2,7.0,86.0,1546,1836,12,11.0,18,1,0,0,2
708,1,2.7,1,7.0,1,63,1.0,195,8,7.0,78.0,654,2169,6,5.0,7,1,1,1,1
635,1,0.5,1,2.0,0,42,0.4,149,3,4.0,300.0,1059,2973,12,5.0,18,0,0,1,2
1569,0,0.8,1,8.0,0,59,0.9,111,3,16.0,1261.0,1383,3672,15,2.0,15,1,0,1,3
1515,0,2.6,0,4.0,1,56,0.9,184,3,1.0,1438.0,1593,262,14,4.0,20,1,1,0,0
1986,0,0.5,0,7.0,0,51,0.4,95,3,9.0,342.0,774,3165,5,9.0,13,1,0,0,3
1142,1,1.4,1,6.0,0,6,0.7,190,8,8.0,534.0,855,663,12,4.0,5,0,1,1,0
1193,1,2.3,0,7.0,0,20,1.0,158,7,13.0,1442.0,1904,1958,7,5.0,2,1,0,0,2
1878,1,0.5,0,9.0,0,29,0.6,85,8,19.0,210.0,1026,1334,18,7.0,2,0,0,0,1
1379,0,1.1,0,5.0,1,36,0.8,200,2,7.0,538.0,1376,3426,5,4.0,17,1,1,1,3
1448,1,0.5,1,6.0,1,45,0.8,138,7,11.0,570.0,1724,3378,13,11.0,2,1,1,1,3
1972,0,1.2,1,1.0,0,37,0.7,102,2,1.0,715.0,1648,2870,16,1.0,17,0,0,0,3
808,0,2.3,0,3.0,0,45,0.8,161,1,9.0,526.0,1324,3431,15,6.0,13,0,1,1,3
1648,1,0.5,0,1.0,1,17,0.9,142,2,3.0,1119.0,1238,1184,6,2.0,2,1,0,1,1
1901,1,0.5,0,5.0,1,41,0.6,131,2,17.0,3.0,1662,368,5,1.0,12,1,0,0,0
1039,1,2.7,0,11.0,0,56,0.3,125,8,13.0,497.0,618,3105,14,8.0,5,0,1,1,2
591,1,0.5,1,1.0,1,16,0.9,90,6,17.0,892.0,1603,3746,5,5.0,5,1,1,0,3
1826,1,0.5,1,5.0,1,49,0.6,172,8,6.0,973.0,1633,1612,17,9.0,17,1,1,0,2
1106,1,1.9,0,4.0,0,54,0.7,107,3,9.0,614.0,1212,2674,9,3.0,9,1,0,1,2
682,1,0.5,0,4.0,0,19,1.0,121,4,11.0,902.0,1064,2337,11,1.0,18,0,1,1,1
1172,0,1.9,0,3.0,1,27,0.7,164,1,3.0,607.0,1092,1477,12,3.0,6,1,0,0,1
1791,1,0.5,1,1.0,1,33,0.5,110,5,4.0,371.0,682,594,17,8.0,16,1,0,1,0
625,1,1.9,0,12.0,1,33,0.2,191,1,20.0,431.0,550,3801,10,6.0,2,1,0,0,2
1355,0,2.3,0,10.0,1,23,0.2,132,5,16.0,651.0,891,880,19,4.0,8,1,1,0,0
1712,0,1.4,0,1.0,0,63,0.5,137,7,12.0,747.0,1126,3652,16,1.0,19,1,0,0,3
1856,0,0.5,1,10.0,1,24,0.1,155,5,1.0,277.0,1155,2052,17,6.0,10,1,1,0,2
1187,0,2.3,0,11.0,1,21,0.2,122,6,6.0,215.0,1125,2547,10,3.0,5,1,1,0,2
1441,0,0.6,1,3.0,1,53,0.5,106,1,12.0,254.0,954,1393,9,4.0,4,1,1,1,1
1277,1,0.5,1,15.0,1,35,0.4,142,6,6.0,309.0,1460,3559,18,17.0,6,1,1,0,3
1656,0,1.0,0,5.0,1,34,0.1,166,3,7.0,880.0,1456,1629,15,12.0,14,1,1,0,1
1159,0,1.5,0,3.0,0,36,0.4,104,4,8.0,717.0,1206,2115,8,7.0,18,0,0,0,2
1441,0,2.1,1,11.0,1,3,0.1,118,8,17.0,577.0,1071,2317,16,4.0,7,1,0,1,2
1778,0,0.5,0,1.0,0,15,0.5,102,3,9.0,1445.0,1954,1214,5,14.0,14,1,0,0,1
1332,0,0.8,1,2.0,0,11,0.5,187,2,4.0,758.0,1165,1285,5,12.0,9,1,1,0,1
1062,1,2.5,1,6.0,0,10,0.9,160,1,13.0,1596.0,1807,3803,7,3.0,16,0,0,1,3
879,1,2.5,0,11.0,1,14,0.7,83,6,15.0,403.0,1105,349,16,10.0,2,1,0,1,0
1929,1,0.5,1,3.0,1,19,1.0,163,6,2.0,349.0,1051,1913,12,7.0,6,1,1,0,1
645,0,2.5,0,10.0,1,63,1.0,174,4,14.0,278.0,584,3615,18,8.0,13,1,0,1,2
1007,1,2.9,1,5.0,1,21,0.8,185,8,12.0,479.0,831,1301,8,6.0,12,1,1,0,0
1663,1,2.5,1,13.0,1,27,0.3,169,4,14.0,831.0,1439,2084,7,1.0,18,1,0,0,2
1288,0,0.5,1,3.0,1,61,0.2,115,6,6.0,988.0,1503,1882,16,6.0,10,1,0,1,2
1540,0,0.7,1,1.0,1,29,0.1,157,7,1.0,318.0,831,1161,11,8.0,5,1,0,0,0
1569,1,1.6,1,4.0,1,54,0.9,190,4,6.0,371.0,665,3905,6,2.0,4,1,0,0,3
793,1,1.9,1,8.0,1,43,0.3,124,8,2.0,15.0,1196,1050,11,9.0,3,1,1,1,0
981,1,1.9,1,1.0,0,2,0.1,136,3,7.0,75.0,688,1539,19,12.0,19,0,0,0,0
550,1,0.5,0,16.0,1,23,0.1,145,2,17.0,486.0,1930,302,18,5.0,8,1,0,0,0
1778,0,0.5,0,15.0,1,23,0.5,101,6,11.0,1028.0,1445,3941,19,6.0,13,1,0,0,3
1973,0,1.6,1,5.0,1,39,0.8,152,4,6.0,792.0,1181,1993,9,7.0,5,1,0,0,2
689,0,1.4,0,2.0,0,45,0.5,103,5,11.0,256.0,823,3585,10,1.0,10,1,0,0,3
856,0,1.9,1,1.0,1,14,0.6,115,1,7.0,395.0,1027,2439,6,3.0,12,1,1,1,1
1146,0,3.0,0,5.0,1,57,0.4,111,5,10.0,73.0,583,291,19,9.0,11,1,1,1,0
1646,0,2.5,0,3.0,1,25,0.6,200,2,5.0,211.0,1608,686,8,6.0,11,1,1,0,0
704,0,2.2,1,4.0,0,53,0.2,186,6,6.0,251.0,1013,3653,7,1.0,15,1,1,1,2
1034,1,2.7,1,6.0,0,37,0.7,120,7,20.0,707.0,1199,3625,17,1.0,12,0,1,1,3
1054,1,1.8,1,3.0,1,40,0.8,196,7,10.0,27.0,774,2296,16,12.0,12,1,0,1,1
911,0,1.4,1,3.0,0,14,0.7,199,4,4.0,1563.0,1692,2933,16,3.0,11,0,1,0,3
1034,0,2.6,1,2.0,1,45,0.3,190,3,4.0,182.0,1293,969,15,1.0,7,1,0,0,0
1709,1,2.1,0,1.0,0,13,1.0,156,2,2.0,974.0,1385,3283,17,1.0,15,1,0,0,3
1895,0,0.5,0,2.0,1,5,0.7,134,1,11.0,725.0,1335,774,15,4.0,6,1,1,0,1
1137,1,1.0,0,5.0,0,7,1.0,196,3,19.0,942.0,1179,3616,13,5.0,12,1,1,1,3
1142,1,1.1,0,14.0,1,6,0.5,198,4,20.0,739.0,1766,1273,19,3.0,6,1,0,0,1
685,0,0.5,0,2.0,0,29,0.8,93,7,10.0,433.0,648,728,14,8.0,4,0,0,1,0
1430,0,0.5,1,1.0,0,27,0.5,183,1,16.0,1132.0,1182,2832,7,1.0,15,0,1,1,2
578,1,0.5,0,9.0,1,62,0.3,170,5,13.0,626.0,1134,2977,15,12.0,5,1,1,1,2
1837,0,1.0,1,5.0,1,12,0.9,103,8,6.0,1420.0,1539,2294,8,7.0,20,1,0,1,3
1164,1,2.6,1,1.0,0,61,0.3,88,1,6.0,1107.0,1656,3859,11,10.0,17,0,1,0,3
1392,0,2.5,0,2.0,1,44,0.7,113,4,2.0,482.0,1098,1280,8,1.0,16,1,0,1,1
534,0,0.5,1,4.0,0,2,0.2,85,5,16.0,911.0,1220,2466,5,3.0,18,0,1,1,2
537,1,2.0,0,1.0,1,55,0.3,103,7,2.0,1041.0,1430,2029,10,5.0,12,1,1,1,1
841,0,0.5,0,6.0,1,11,0.3,81,5,14.0,125.0,675,957,6,5.0,11,1,1,0,0
1812,1,1.3,1,4.0,1,42,1.0,162,7,15.0,380.0,1550,3338,18,13.0,11,1,1,1,3
546,1,2.6,1,5.0,0,26,1.0,159,5,15.0,416.0,1658,1550,7,2.0,3,0,1,0,1
504,0,2.8,1,4.0,0,40,0.5,178,3,17.0,626.0,1195,470,6,2.0,16,1,0,0,0
1889,0,2.8,0,5.0,1,31,1.0,132,1,10.0,170.0,1106,3672,5,1.0,3,1,1,1,3
1004,1,2.9,1,1.0,0,35,0.2,141,6,9.0,901.0,1162,3772,17,8.0,18,0,1,1,3
1945,0,1.6,0,4.0,0,21,0.7,113,3,10.0,280.0,895,3015,6,1.0,15,0,0,0,3
936,0,1.0,0,1.0,0,18,0.2,153,3,18.0,1330.0,1686,2391,12,6.0,3,1,1,1,2
1970,1,0.5,1,2.0,1,15,1.0,132,2,10.0,1399.0,1684,1658,15,9.0,20,1,1,1,2
772,0,1.0,1,12.0,1,23,0.6,97,7,11.0,317.0,1805,2782,7,15.0,17,1,0,0,2
1453,0,1.6,1,12.0,1,52,0.3,96,2,18.0,187.0,1311,2373,10,1.0,10,1,1,1,2
668,0,2.3,0,2.0,1,48,0.3,114,1,19.0,195.0,1292,1201,14,12.0,4,1,1,0,0
1660,0,0.5,0,2.0,1,15,0.7,100,8,8.0,440.0,569,2424,12,5.0,9,1,1,0,2
598,1,0.8,1,8.0,1,62,0.1,117,8,9.0,118.0,764,3066,11,2.0,19,1,1,0,2
790,0,2.0,1,16.0,1,11,0.3,87,6,17.0,347.0,730,3169,6,1.0,2,1,0,1,2
1413,0,0.5,1,5.0,0,51,0.3,117,5,11.0,187.0,517,3383,16,5.0,2,0,0,0,3
1426,0,1.6,0,4.0,1,12,0.7,174,5,16.0,1573.0,1694,1277,14,9.0,5,1,0,0,1
1644,0,2.8,0,7.0,1,44,1.0,137,8,11.0,358.0,791,2360,7,4.0,19,1,0,0,2
1972,1,1.6,0,3.0,0,48,0.5,92,8,2.0,290.0,804,2872,7,2.0,11,1,0,1,3
1074,0,2.4,1,2.0,1,9,0.9,103,6,14.0,946.0,952,1948,13,1.0,18,1,1,1,1
695,0,0.5,0,5.0,1,12,0.6,196,2,19.0,1649.0,1829,2855,16,13.0,7,1,1,1,2
1628,1,1.8,1,11.0,0,56,0.1,136,2,13.0,500.0,1713,3358,17,11.0,12,1,1,1,3
1108,0,1.0,0,3.0,0,49,0.7,140,5,12.0,1298.0,1666,3254,12,1.0,16,1,0,0,3
1646,1,2.3,0,8.0,1,41,0.2,185,2,10.0,1725.0,1932,3339,18,10.0,19,1,1,0,3
1512,1,0.5,0,1.0,0,52,0.1,131,1,14.0,333.0,952,3002,6,5.0,7,0,0,1,2
1606,1,0.5,1,8.0,1,33,0.9,200,5,20.0,157.0,770,3437,11,1.0,2,1,0,0,3
1829,0,1.7,0,3.0,0,36,0.8,112,5,1.0,291.0,563,1475,11,4.0,7,0,0,0,1
1652,0,0.6,1,4.0,1,40,1.0,198,7,6.0,352.0,1084,3592,7,6.0,6,1,0,0,3
1724,1,1.8,0,11.0,1,9,0.8,100,2,1.0,655.0,828,3056,18,16.0,6,1,0,0,3
630,0,2.0,0,9.0,1,14,0.5,180,8,13.0,66.0,1448,1212,12,8.0,12,1,0,0,0
1811,1,0.5,1,7.0,0,32,1.0,115,6,11.0,204.0,1132,348,17,11.0,18,1,0,1,0
1935,0,0.5,0,2.0,1,29,0.6,124,5,9.0,806.0,860,455,9,2.0,6,1,0,1,0
925,1,2.1,0,9.0,0,56,0.2,196,1,14.0,1262.0,1520,2466,8,12.0,5,1,0,0,2
1816,1,1.6,1,5.0,0,50,0.1,186,5,2.0,800.0,1089,3637,11,7.0,16,0,0,1,3
1587,1,0.5,0,5.0,0,50,0.9,148,8,15.0,299.0,874,461,17,4.0,4,1,0,1,0
1731,1,1.4,1,4.0,1,4,0.5,163,6,18.0,809.0,1988,3892,5,1.0,4,1,1,1,3
1988,1,0.5,0,6.0,1,16,0.1,94,8,1.0,153.0,696,3144,16,2.0,14,1,0,0,3
1317,0,1.8,1,2.0,0,43,0.5,113,5,3.0,179.0,613,3436,16,13.0,5,0,1,1,3
609,1,3.0,0,15.0,1,44,0.3,117,1,16.0,58.0,1253,2581,15,11.0,15,1,0,1,1
1005,0,0.5,0,15.0,0,46,0.4,133,8,17.0,176.0,1556,3884,17,1.0,20,0,1,1,3
1166,1,0.5,0,7.0,0,59,0.5,80,1,11.0,437.0,638,3887,8,6.0,7,1,0,1,3
1671,0,0.6,1,7.0,1,61,0.1,129,2,11.0,263.0,848,2336,10,4.0,7,1,0,0,2
1719,1,2.1,1,9.0,0,52,0.1,187,3,1.0,417.0,520,2610,10,1.0,11,1,1,1,2
912,0,0.5,1,14.0,0,58,0.3,107,5,1.0,165.0,1723,3573,17,3.0,20,1,1,0,3
906,0,2.1,1,7.0,0,18,0.1,136,2,11.0,1102.0,1793,3412,13,8.0,16,1,0,0,3
1540,0,0.7,1,1.0,0,60,0.8,197,7,12.0,704.0,822,1591,19,2.0,2,1,0,1,1
